,report,institute,category
1,"Dengan hormat bapak/ibu,semoga bapak/ibu dalam keadaan sehat.saya mengapresiasi tindakan untuk pemberlakuan psbb kembali untuk jawa-bali yang akan dimulai besok sesuai dengan instruksi menteri dalam negeri nomor 01 tahun 2021, dikarenakan kasus covid19 yang makin mengganas di indonesia. namun, saya masih merasa kurang puas dengan instruksi tersebut, terutama pada instruksi kedua poin e, mengenai perizinan kegiatan konstruksi berlaku 100% dengan protokol kesehatan.perlu saya sampaikan sebelumnya bahwa saya sekarang bekerja di sebuah proyek konstruksi besar di kabupaten bojonegoro, dan walaupun di satu sisi saya masih bersyukur masih mendapatkan rezeki dan pekerjaan di pandemi ini, tapi di satu sisi rasa kekhawatiran saya terhadap pandemi covid jauh lebih besar. sehingga walaupun saya tahu ini akan membuat saya kehilangan pekerjaan, tapi saya tetap merasa sangat penting untuk ditinjau ulang mengenai perizinan kegiatan konstruksi di psbb kali ini, dengan lebih diperketat lagi, jangan diizinkan 100%. kalau perlu dihentikan!ada 2 concern yang menurut saya patut dijadikan pertimbangan untuk memperketat masalah kegiatan konstruksi selama pandemi covid 19 ini. perlu saya sampaikan, 2 concern yang akan saya utarakan tidak hanya berdasarkan dari apa yang saya alami dari proyek yang sedang saya kerjakan, tapi juga dari proyek-proyek konstruksi lain yang sedang dikerjakan teman-teman atau yang saya baca melalui media.1. banyak proyek konstruksi tidak urgent.salah satu contohnya ialah proyek tempat saya bekerja sekarang ini. memang proyek konstruksi kilang gas tempat saya bekerja ini ditetapkan sebagai salah satu proyek strategis nasional, tapi perlu diperhatikan bahwa penetapan dilakukan sebelum pandemi. kenyataannya, apakah memang indonesia perlu menggenjot produksi gas sekarang ini? apa energi gas memang defisit? saya rasa kalaupun iya, tidak se-urgent pandemi covid 19 ini. contoh lain adalah proyek bandara ngloram di blora. apakah memang harus dibutuh bandara dalam waktu dekat ini? bukankah justru kita perlu membatasi perjalanan agar mengurangi resiko penyebaran covid 19, lalu untuk apa bandara ini dibangun secepatnya? dua contoh di atas merupakan 2 proyek konstruksi besar yang memakan biaya cukup besar. bukankah akan lebih baik jika dana sebesar itu, yang mana pastinya dana investasinya dari uang negara, dipakai untuk program recovery pandemi? secara kasar, saya bisa bilang, penghentian ribuan pekerja konstruksi di tempat saya ini memang akan menghentikan gaji mereka (terutama pekerja lokal aka. pekerja buruh tukang), namun di sisi lain ada dana seperti material dan lain lain yang jumlahnya sangat besar bisa dialokasikan untuk blt, tidak hanya ribuan yang lagi bekerja tapi lebih dari itu dikarenakan jumlah uang yang sangat besar.izinkan hanya proyek konstruksi yang benar-benar urgent. seperti contohnya di musim penghujan ini banyak proyek konstruksi pembangunan saluran drainase di perkotaan, yang mana penting untuk pencegahan banjir. atau konstrukis jembatan di daerah-daerah yang aksesnya terputus dikarenakan jembatan rusak longsor.2. proyek konstruksi besar sangat tidak kondusifmengapa saya bilang tidak kondusif? pertama masalah pekerja. di proyek konstruksi besar, seperti tempat saya bekerja, tidak hanya berisi pekerja buruh kasar, namun juga dilengkapi dengan banyak professional staff yang bekerja pada kantor yang berlokasi di site konstruksi. mulai dari staff engineering, finance, qc, administrasi, hrd, dan sebagainya. yang menjadi tidak kondusif di sini adalah, pekerjaan mereka tidaklah pekerjaan outdoor pada konstruksinya, melainkan tetap bekerja kantoran. padahal pada instruksi mendagri no 01 tahun 2021 dijelaskan pemberlakuan wfh 75% untuk pekerja kantoran, yang mana saya yakin 100% akan diabaikan oleh para management di berbagai pekerjaan konstruksi, dengan dalih mereka adalah bagian dari pekerjaan konstruksi yang mana dalam instruksi yang sama diizinkan untuk tetap berjalan 100%.selain itu diperparah dengan fakta bahwa professional staff di pekerjaan konstruksi ini bisa dikatakan mayoritas bukanlah warga lokal, sehingga pada operasionalnya mayoritas staff akan pulang kampung secara berkala, sesuai dengan peraturan pekerja yang ada. biasanya mereka mendapatkan jatah cuti untuk setiap waktu tertentu, misalkan 1 bulan, 2 bulan atau 3 bulan, sebagai salah satu bentuk stress management. dengan banyaknya pekerja berarti ada banyak sekali arus keluar masuk pekerja setiap harinya, dikarenakan jatah cuti pekerja berbeda-beda. bayangkan resiko penularan secara berkala dari daerah sekitar proyek menuju kota-kota di luar daerah proyek, dan sebaliknya dikarenakan cuti berkala.sekedar informasi, kasus nyata terjadi pada proyek konstruksi saya berada sekarang, di mana beberapa minggu lalu ada 1 kasus positif covid oleh salah satu pekerja setelah pulang cuti, dan dengan cepat menyebar dan kasus positif covid pada staff di perusahaan saya bekerja menjadi puluhan. walaupun ada protokol kesehatan pasca cuti, dengan karantina di hotel selama 3 hari tapi tetap masih kecolongan. sebelumnya persebaran covid juga terjadi pada staff owner proyek ini pada bulan juli-agustus kemarin, diduga dengan alasan yang sama, dari 1 orang yang habis pulang cuti.belum lagi biasanya jam kerja konstruksi biasanya cenderung lebih panjang daripada pekerja kantoran, dan hampir setiap hari. seperti di proyek saya, pekerjaan dimulai dari 6:30 hingga 17:30, senin sampai sabtu, dan minggu pun masih sering masuk juga. untuk mereka, staff yang bekerjanya tidak di lapangan tapi di kantor di site, selama 11 jam di dalam kantor akan sangat mempermudah resiko penyebaran virus covid ke seluruh ratusan pekerja di dalam kantor site. belum lagi kalau lembur.ada hal lain lagi yang membuat proyek besar tidak kondusif, namun saya tidak tahu apakah ini terjadi juga di proyek lain. masalah tempat kerja di kantor di site, biasanya berada di bangunan temporary yang mana pastinya karena temporary berkapasitas seadanya, apalagi kalau proyek sudah dimulai dari sebelum pandemi. sehingga di dalam kantor kapasitasnya full. sudah tidak ada pemberlakuan wfh ditambah kondisi kantor yang penuh. selain itu biasanya pekerja mendapatkan mess selama bekerja di lokasi konstruksi, yang mana biasanya 1 kamar diisi beberapa orang. akan sangat berisiko jika 1 kamar diisi oleh orang dari beda divisi atau bahkan beda lokasi kantor, jika proyeknya sangat besar, dan itu terjadi di proyek saya sekarang ini. diperparah, saya jamin tidak mungkin ada proyek yang menerapkan protokol kesehatan pada perjalanan tiap hari ke lokasi konstruksi. pasti tetap mengisi kendaraan sampai penuh, karena tidak mungkin ada proyek yang mau mengeluarkan uang untuk membeli atau menyewa kendaraan untuk perjalanan tiap hari pekerja dari mess ke lokasi konstruksi sampai dengan 2 kali lipat jumlah kendaraan yang sudah dimiliki untuk memenuhi kapasitas kendaraan 50% sesuai dengan protokol kesehatan.dan tidak ketinggalan juga, proyek besar dengan ribuan pekerja seperti proyek saya sekarang ini pastinya akan sangat sulit untuk dikontrol, utamanya masalah penerapan protokol kesehatan. apalagi masalah penggunaan masker. pekerja di lapangan lebih cepat capek dengan memakai masker jadi menyopot maskernya, atau saat istirahat berkumpul merokok dan minum kopi dengan melepas masker, dsb.pada nomor 1 saya beri contoh proyek urgent pembangunan jembatan, yang mana skalanya kecil. tidak perlu ada kantor dan segala macamnya, dan di jembatan bisa hanya terdiri dari kurang dari 10 pekerja termasuk pengawas. sangat berbeda dengan proyek konstruksi besar, sehingga proyek-proyek skala besar ini perlu sekali untuk dihentikan sementara menurut saya.-------------------jujur kondisi saya sekarang ini sangat stress karena walaupun bojonegoro tidak masuk kabupaten yang mendapat perhatian khusus pada psbb kali ini, tapi tetap pertumbuhan kasus covid di sini masih sangat besar, dan angka ini juga banyak disumbang dari teman-teman di tempat kerja saya yang totalnya sudah puluhan positif covid. management tetap tidak menghentikan atau lockdown pekerjaan dengan dalih proyek ini merupakan proyek strategis nasional, walaupun sudah banyak pekerja tumbang terkena covid. tapi yang ada management malah makin menggenjot untuk lembur. kondisi ini justru membuat pekerja tidak bekerja secara maksimal, bekerja dengan penuh rasa was-was, dan mudah capek sehingga kasus-kasus covid yang muncul sekarang-sekarang ini jadi banyak yang bergejala dikarenakan ini. kondisi di sini sudah tidak kondusif, saya hanyalah pekerja level rendah, ditambah saya belum 1 tahun bekerja di sini sehingga tidak mempunyai suara yang bisa didengar oleh management. oleh karena itu saya mohon dengan sangat, untuk meninjau kembali instruksi psbb ini dengan memperketat masalah konstruksi. hanya pemerintah yang bisa menghentikan chaos yang terjadi saat ini terutamanya di proyek saya ini. saya takut, kejadian serupa terjadi di proyek konstruksi besar lain, jadi sekali lagi saya mohon pertimbangannya untuk memperketat masalah pekerjaan konstruksi selama psbb ini.salam sehat.",Direktorat Manajemen Penanggulangan Bencana dan Kebakaran,  Karantina Wilayah
2,"Daerah di sekitar kali gempol, pelutan, pemalang sering mengalami kebanjiran padahal hujan tidak terlalu lama dan tidak deras. tolong segera diperiksa, diperbaiki, dan ditangani. warga disini sudah kesusahan karna hampir tiap hari hujan dan banjir. terima kasih.",DInas Pekerjaan Umum dan Penataan Ruang Kabupaten Pemalang,  Bendungan
3,"Banjir di jalan guntur wangi setiap kali hujan, padahal belum sebulan beres pembuatan gorong-gorong.",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Garut,  Banjir
4,"Kepada ythbpk/ibu pimpinan 
dirjen sumeber daya air(pupr) balai besar sungai brantas.
kami warga dusun beluk desa jombok kabupaten jombang jawa timur sudah 13 hari terdampak banjir luapan sungai watu dakon mohon bantuannya untuk bisa menyelesaikan permasalahan  dan analisa secara detail dan menyeluruh dari hilir sampai hulu karena kami sudah langganan dengan banjir ini di tambah kondisi covid 19 menambah derita kami. atas perhatiannya terimakasih. 
salam
slamet nurwahyudi
(warga dusun beluk kec kesamben. kab jombang jawatimur)",Dinas Pekerjaan Umum dan Penataan Ruang Kab. Jombang,  Bendungan
5,"Dh. pemkab bogor dan pihak terkait,

saya adalah warga cilebut yang resah dengan kondisi sungai cilebut yang penuh dengan sampah. kondisi sangat memprihatinkan dan jika tidak ditanggulangi, ditakutkan memicu banjir. sungai tersebut dulu pernah dibersihkan ketika ibu iriana jokowi berkunjung. sayangnya, selepas itu, sungai seperti terbengkalai lagi. 

saya berharap ada solusi dari pemerintah terkait pengelolaan sampah dan sungai, serta tak henti-hentinya bersosialisasi kepada warga ttg pentingnya kebersihan. adapun foto saya lampirkan. terima kasih atas perhatiannya.",Dinas Lingkungan Hidup,  Pencemaran Lingkungan
6,"Sudah hampir 1 bulan saya menemui jalan brigjend katamso rusak parah di beberapa titik. lubang-lubang besar mulai bermunculan yang bisa membahayakan pengendara (terutama roda 2) di malam hari /  saat hujan.

beberapa titik yang perlu dicatat:

1) titik di depan masjid darussalam (rw 02- janti wa) - beberapa lubang besar & dalam membuat arus lalu lintas melambat. warga sekitar berinisiatif menutup lubang dengan tumpukan ban, maksudnya baik, tapi itu juga sangat berbahaya terutama saat malam hari daerah tersebut minim penerangan.

2) titik di dekat spbu brigjend katamso (dekat pertigaan ke arah berbek industri) - kumpulan beberapa lubang yang selalu berlubang lagi setelah beberapa saat lalu sudah ditambal. mungkin indikasi kalau kualitas penambalan kurang baik. ditambah saluran drainase yang tersumbat, air dari selokan seringkali overflow membanjiri jalan

3) titik di tikunagn depan pt. dwi anugrah abadi - 2 lubang cukup dalam yang selalu muncul berulang di titik yang sama. cukup berbahaya mengingat lokasi tepat di tikungan, apabila dilibas pengendara roda 2 yang tidak melihat bisa berakibat fatal.",Dinas Pekerjaan Umum Bina Marga Dan Sumber Daya Air Kabupaten Sidoarjo,  Infrastruktur Jalan
7,"Kepada yth, 
Team pemerintahan kabupaten tangerang, 
Nama saya candra, ingin melaporkan tolong di perbaiki saluran air yang tidak mengalir yang menyebabkan banjir pada saat hujan",Dinas Bina Marga Dan Sumber Daya Air Kabupaten Tangerang,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
8,"Banjar jalan tatah kalaka indah yg termasuk dalam kawasan kel. mandarsari kec. kertak hanyar, setiap musim hujan selalu banjir. berharap dinas pupr kab banjar melanjutkan proyek pengebangan jalan cor / aspal ke wilayah kami. tks",Dinas Pekerjaan Umum dan Penataan Ruang,  Infrastruktur Jalan
9,Kami warga desa dambung raya kususnya masyarakat misim  mengucapkan banyak terimakasih kepada dinas sosial kabupaten tabalong yang sudah memberikan bantuan untuk rumah yang terdampak banjir walaupun hanya 16 rumah aja yang tenggelam lantainya tapi semua masyarakat yang sudah di beri bantuan.,Dinas Sosial Kabupaten Tabalong,  Lainnya terkait Bantuan Sosial
0,"Dipertigaan timur pt tun hong jln raya pengging setiap hujan dengan intensitas sedang saja selalu terjadi banjir... posisi pertiggan jalan utk arah kebarat selatan jalan masuk ds bendan,, utara jalan desa ngaru aru...sementara jalan raya pengging timur jalan nya desa jembungan..
dari segi jalan... utk jalan raya pengging itu masuk jalan dinas pu
sementara utk jalan ke barat saya merupakan jalan desa.
mohon di tindak lanjuti... karna sebagai warga bantulan jembungan sangatlah merugikan... sudah berkali kali minta apatur desa u komplain dan mencari solusi,,mohon instansi terkait melakukan aksi 
terimakasih","Kecamatan Banyudono, Kabupaten Boyolali",  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
1,"Setiap hujan selalu terjadi banjir di dusun kedondong desa blimbing dan desa jombok kecamatan kesamben kabupaten jombang. sudah langganan dari tahun 2015 , tapi sampai sekarang tidak ada tindakan dari pemerintah kabupaten jombang untuk mengatasinya. bahkan hujan sudah redapun, air tidak kunjung surut. desa kami seperti danau.",Dinas Pekerjaan Umum dan Penataan Ruang Kab. Jombang,  Banjir
2,"Mohon untuk melakukan pengerukan kembali sungai sibam dan pelebaran parit perumahan karena hari ini terjadi banjir lagi di perumahan dwi beringin indah thp 4 jln. Beringin, air hitam, payung sekaki",Dinas Pekerjaan Umum dan Penataan Ruang Kota Pekanbaru,  Infrastruktur Pendukung
3,"Banjir terjadi malm tadi dan masuk keruma2 kami disebabkan parit meluap dan air hujan deras. kami mohon parit kami diperbaiki krn pigir2 paritnya telah terkis oleh luapan air selama ini, dan titi untj akses jalan ke rumah kami pun hampir hancur oleh luapan air parit tersebut. kami dafmri itu kami barharap agar dibuat bendungan untk parit kami, pigir2 nya di cir atau di bendung agar air nya dpt terkendali dan tdk meluap ke rumah2 kami . kami warga sukmo 6 desa kolam,percut sei tuan, deli serdang, sumatera utara. tolong diperhatikan dan diseriusi laporan saya ini..",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Deli Serdang,  Bendungan
4,"Mohon dibantu banjir di desa tambak beras gresik banjir menggenang sudah 2 hari berakibat jalan nasional dari cerme ke terminal bunder gresik rusak. 
jalan banjir, rusak parah, berlubang besar, membuat kemacetan dan berbahaya kecelakaan.",BADAN PENANGGULANGAN BENCANA DAERAH KABUPATEN GRESIK,  Jalan Berlubang
5,"Dpr yth..
saya warga kec.hulu sungai merasa perlu membuat aduan,tentang proyek air bersih melalui add desa benua krio th 2019 yang berlokasi di dusun sepanggang (kompleks.sdn 05 spanggang) desa benua krio. menurut saya tali penyangga( seling ) terlalu kecil untuk menahan beban pralon 2inc,yang menyebrangi sungai krio dgn panjang 170 meter. akibatnya saat air di alirkan perlahan  tali penyangga kendur karena sungai krio besar saat banjir ad kayu nyangkut di tadi trsb, akibatnya tali kendor dan pipa putus. setelah itu disambung pipanya tapi talinya tetap kendor. hal tersebut mengganggu lalu lintas transportasi air  saat terjadi banjir, dan pipa air bersih kami rawan putus. tuntutan kami:
1) tolong untuk ditindak lanjuti proses pembuatan dan pengadaan bahannya, sesuai tau tidak?
2) kami minta tali penyangga di tambah serta di kencangkan lagi biar aman?
saya lampirkan vidio sesaat setelah pipa tersangkut kayu..
mohon ditindak lanjuti langsung ke lapangan, karena add tujuannya untuk pembangunan warga desa yang adil dan merata.  terima kasih, merdekaa!!..",Kecamatan Hulu Sungai,"  Lainnya terkait Pembangunan Desa, Daerah Tertinggal, dan Transmigrasi"
6,"Mohon kepada bapak bupati banjar, sudah terjadi banjir dibeberapa wilayah di kabupaten banjar, apakah pemerintah daerah memberikan bantuan kepada korban terdampak, karena selama banjir terjadi hanya  bantuan dari orang pribadi memberikan, sedangkan pemerintah daerah belum memberikan?",Dinas Sosial,  Lainnya terkait Sosial dan Kesejahteraan
7,"Saya nadya. pemilik rumah jl semeru no 64a.
gorong2 pinggir jalan raya menggenang air ketika hujan deras. hari ini saya panggil tukang karna dekat gorong2 jalan raya ambles tanahnya. ternyata dari gorong2 jalan (bis beton) tidak tersambung ke gorong2 utama. jadi merembes2 ke tanah dan bikin anjlok samping2nya.
tolong di tindak lanjuti, karena merugikan dan membuat banjir kedalam rumah.","Dinas Pekerjaan Umum, Penataan Ruang, Perumahan dan Kawasan Permukiman Kota Malang",  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
8,"Laporhendi perum plamongan hijau kota semarang, banjir sejak hari minggu 3/1/21 - selasa 5/1/21 belum surut2. pompa polder rusak",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
9,"Kepada yth pemkot semarang, terutama pdam tirta moedal, sudah berulangkali masalah air tidak mengalir setiap musim hujan yang alasannya air keruh dan banjir , setiap musim kemarau bahan baku air tidak ada. selalu saja masalahnya begitu setiap musim dan setiap tahunnya, tidak ada perbaikan sama sekali, sekarang sudah 2 minggu air di wilayah bukit kencana jaya meteseh tidak mengalir. kedua, kalau keran pdam di buka , itu yang keluar bukan air tapi angin, meteran air nambah tapi airnya tidak ada. bayar bayar tapi gak ada airnya.",PDAM Tirto Moedal Kota Semarang,  Gangguan Layanan Penyaluran Air
0,"Penyaring sungai di dekat pintu masuk syphon watudakon desa ngingas rembyong kec.sooko belum lama dibangun ini tersumbat oleh tumbuhan air dan sampah yang terbawa arus air. terganggunya aliran mengakibatkan meluapnya sungai dan membanjiri pemukiman sekitar yaitu desa tempuran dan dusun beluk pada 02/01/2021agar bencana banjir segera surut, warga saling membantu mengangkat sumbatan. terlihat jelas di foto, beberapa warga rela ceburkan diri ke sungai. mohon untuk kedepannya dipantau lagi untuk rancangan penyaringan yang aman, mudah, dan efektif dalam pembersihannya. terimakasih",Badan Penanggulangan Bencana Daerah Pemkab Mojokerto,  Bendungan
1,"Kpd, yth: bapak menteri pupr
bapak menteri yang terhormat kami sangat bermohon supaya bws sumut ii menghentikan perbaikan tanggul sukaraja yang berada di desa sukaraja, kec. simpang empat, asahan, sumut yang jebol bulan desember 2020 lalu karena tidak mampu menahan air yang begitu besar. tanggul itu sendiri sudah menjadi dasar penyebab konflik kami masyarakat yang berada di atas dan di bawah tanggul dan menjadi penyebab bencana bagi kami. tanggul ini memecah belah kami karena dibangun di posisi yang salah, seharusnya dibangun di pinggir sungai asahan. tanggul ini menahan air seperti danau membanjiri lahan kami, mematikan tanaman pertanian kami sekitar 2.000 ha. bila diperbaiki tidak menyelesaikan masalah. kami bermohon supaya tanggul tersebut dipindah ke pinggir sungai asahan supaya kami yang berada di atas dan bawah tanggul sama-sama aman dari banjir. demikian kami sampaikan, atas bantuan dan perhatian bapak kami ucapkan terima kasih.","Dinas Sumber Daya Air, Cipta Karya, dan Tata Ruang Provinsi Sumatera Utara",  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
2,"Kepada yth:
instansi dari bpbd kabupaten jombang, bpbd kabupaten mojokerto dan bpbd provinsi jawa timur.


mohon segera bantuan penanganan mengenai banjir yang terjadi di desa kami yg terjadi di tanggal 1 januari 2021 sampai dengan sekarang belum surut, hal tersebut karena debit sungai watudakon yang tinggi(padahal desa kami tidak terjadi hujan lebat)serta tidak berfungsinya penyaring sampah yang baru di buat di shypon karena tidak ada sdm untuk melakukan pengambilan sampah di jaring tersebut sehingga aliran air sangat terhambat dan bantuan untuk logistik sampai skrg belum ada serta mck. (kondisi banjir terjadi tiap tahun 2019,2020 dan skrg 2021). terimakasih",Badan Penanggulangan Bencana Daerah Kab. Jombang,  Penanggulangan Bencana
3,"Laporhendi mesin pompa di perum plamongan hijau senin subuh (4/1/21) rusak, pdhl masih banjir. tolong dibantu alternatif pompa lain",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
4,"Laporhendi perum plamongan hijau kota semarang, s/d senin dini hari 4/1/21 jam 01.45 wib masih banjir tapi pompa sudah dimatikan",Dinas Pekerjaan Umum Kota Semarang,  Bendungan
5,"Banjir di perumahan green nongsa city setiap hujan deras lebih dari 30 menit, karena kesalahan teknis pembuatan parit/saluran pembuangan",Dinas Bina Marga dan Sumber Daya Air Kota Batam,  Permukiman
6,"Selamat siang, 
kami warga rt.02/04 kel batu ampar. kec kramat jati. mengharapkan dibuatkan saluran drainase antara gang asem dan gang bambu kuning.
karena dilingkungan kami, sama sekali tidak ada drainase dalam pembuangan air rumah tangga atau air hujan.  sejak lama kami mencoba mengajukan ke rt/rw serta kelurahan   tapi belum ada realisasi sama sekali.
mohon kiranya segera dibangun drainase agar tidak becek dan kumuh karena banjir.


terima kasih",Pemprov DKI 2,  Lainnya terkait Infrastruktur Jalan
7,Banjir di atas lutut tidak surut2 dikarenakn sungainy terlalu kecil untuk menampung aliran air.... mohon solusiny ... daerah jl tambak lumpang... tambak pring barat ... surabaya,Dinas Pekerjaan Umum Bina Marga dan Pematusan Pemerintah Kota Surabaya,  Bantuan Sosial
8,"Proyek underpass bulak kapal merugikan warga perumahan margahayu, pasalnya saluran air utama perumahan margahayu telah dipersempit cukup signifikan. apalagi sekarang sudah memasuki musim hujan yang mulai mengguyur kota bekasi sejak beberapa hari, turut menimbulkan bencana. kira-kira selasa (24/11) untuk pertama kalinya hujan dengan intensitas menengah-tinggi selama 1 jam membuat air menggenang di jalanan (banjir). hal ini tidak biasa terjadi (1jam loh.., biasanya butuh waktu berjam-jam), tapi setelah ditelaah biang masalahnya adalah saluran air utama perumahan margahayu yang telah dipersempit oleh pelaksana proyek underpass bulak kapal. ini meresahkan warga mau seberapa besar lagi, kami terkena banjir jika sekarang 1 jam hujan saja sudah menggenang? seharusnya pemerintah bisa mengantisipasi bencana, bukan bikin bencana makin besar. saya mengharapkan pemkot bekasi dan pupr agar serius menangani masalah ini. buatlah pembangunan yang tidak merugikan rakyat dan tetap memperhatikan dampak lingkungan. seharusnya saluran air utama diperlebar, bukan dipersempit. dari : warga perumahan margahayu",Direktorat Jenderal Bina Marga,  Infrastruktur Jalan
9,"Assalamualaikum wr. wb..selamat siang pak gubernur yang terhormat..mohon ijin menyampaikan keluhan sebagai warga.pada tanggal 1 januari 2020, akibat hujan deras berkepanjangan pada malam harinya, di wilayah kami ini terjadi banjir akibat tanggul sungai kecil jebol, yang mengakibatkan jembatan di jalan kp. panjang, kelurahan rawa panjang, kecamatan bojong gede, kabupaten bogor, yang merupakan akses utama ke pemukiman warga dan pemakaman karang anyar roboh tergerus banjir..mengakibatkan warga terisolir dan harus memutar jauh melalui jalan alternatif untuk bisa keluar ke jalan raya utama..sekarang sudah hampir genap 1 tahun, kondisi jembatan roboh tersebut sama sekali belum tersentuh tangan pemerintah, mohon bantuan dari pak gubernur untuk minimal memberikan arahan kepada perangkat pemerintah setempat untuk memberikan perhatian kepada jembatan yang roboh tersebut.jalanan di daerah kelurahan ini juga kondisinya masih banyak yang jelek, awal tahun ada proyek pengecoran beberapa ruas jalan, namun belum genap 1 tahun jalanan tersebut sudah hancur, tolong direview kinerja pemerintah desa/kelurahannya..terima kasih banyak atas perhatiannya pak gubernur, besar harapan kami jembatan tersebut diperbaiki.",Dinas Pekerjaan Umum dan Penataan Ruang,  Infrastruktur Jalan
